Train_No,Origin_Station,Destination_Station,Total_Distance,Number_of_Stops,Journey_Duration_Hours
53334,DHANBAD JN.,SINDRI TOWN,27.0,4,1.17
53343,NSC BOSE J G,CHOPAN,460.0,57,13.33
53344,CHOPAN,NSC BOSE J G,460.0,56,13.17
53345,CHOPAN,ALLAHABAD JN,223.0,21,8.58
53346,ALLAHABAD JN,CHOPAN,223.0,21,7.92
53347,NSC BOSE J G,BARWADIH JN,258.0,34,7.0
53348,BARWADIH JN,NSC BOSE J G,258.0,33,8.08
53349,BARWADIH JN,DEHRI-ON-SON,159.0,22,4.25
53350,DEHRI-ON-SON,BARWADIH JN,159.0,22,4.58
53351,BARWADIH JN,CHUNAR JN.,304.0,29,8.92
53352,CHUNAR JN.,BARWADIH JN,304.0,29,9.33
53357,BARKAKANA,DEHRI-ON-SON,316.0,41,8.17
53358,DEHRI-ON-SON,BARKAKANA,316.0,40,8.25
53363,GAYA JN.,DEHRI-ON-SON,85.0,12,2.08
53364,DEHRI-ON-SON,GAYA JN.,85.0,12,2.17
53365,KAWAR,KODERMA,87.0,7,2.5
53366,KODERMA,KAWAR,87.0,7,2.5
53369,KAWAR,KODERMA,87.0,7,2.5
53370,KODERMA,KAWAR,87.0,7,2.5
53371,KODERMA,BARKAKANA,139.0,14,4.5
53372,BARKAKANA,KODERMA,139.0,14,4.33
53373,KODERMA,BARKAKANA,139.0,14,4.17
53374,BARKAKANA,KODERMA,139.0,14,4.33
53401,SAHIBGANJ,MALDA TOWN,103.0,17,3.25
53402,MALDA TOWN,SAHIBGANJ,103.0,17,3.08
53403,RAMPUR HAT,GAYA JN.,433.0,64,18.37
53404,GAYA JN.,JAMALPUR JN.,174.0,19,6.5
53405,RAMPUR HAT,SAHIBGANJ,137.0,20,3.43
53406,SAHIBGANJ,RAMPUR HAT,137.0,20,4.08
53408,JAMALPUR JN.,RAMPUR HAT,259.0,44,8.75
53411,BARHARWA JN.,SAHIBGANJ,54.0,8,1.5
53412,SAHIBGANJ,BARHARWA JN.,54.0,8,1.5
53415,SAHIBGANJ,JAMALPUR JN.,127.0,29,4.5
53416,JAMALPUR JN.,SAHIBGANJ,127.0,29,4.08
53417,BARDDHAMAN J,MALDA TOWN,233.0,37,6.0
53418,MALDA TOWN,BARDDHAMAN J,233.0,37,6.67
53423,JAMALPUR JN.,KIUL JN.,45.0,11,1.25
53424,KIUL JN.,JAMALPUR JN.,44.0,11,1.42
53431,SAHIBGANJ,JAMALPUR JN.,127.0,29,4.83
53432,JAMALPUR JN.,SAHIBGANJ,127.0,29,3.92
53433,AZIMGANJ JN.,BARHARWA JN.,87.0,17,3.25
53434,BARHARWA JN.,AZIMGANJ JN.,87.0,17,2.75
53435,KATWA JN.,AZIMGANJ JN.,65.0,17,2.33
53436,AZIMGANJ JN.,KATWA JN.,65.0,16,2.42
53441,HANSDIHA,BHAGALPUR,71.0,14,2.92
53442,BHAGALPUR,HANSDIHA,72.0,14,2.92
53443,HANSDIHA,BHAGALPUR,71.0,14,2.75
53444,BHAGALPUR,HANSDIHA,73.0,16,3.0
53445,HANSDIHA,BHAGALPUR,71.0,14,3.0
53446,BHAGALPUR,HANSDIHA,72.0,14,2.92
53447,BANKA,BHAGALPUR,50.0,13,2.25
53448,BHAGALPUR,BANKA,51.0,13,2.33
53449,BANKA,BHAGALPUR,50.0,13,2.25
53450,BHAGALPUR,BANKA,51.0,13,2.33
53451,DUMKA,HANSDIHA,41.0,4,1.33
53452,HANSDIHA,DUMKA,41.0,4,1.42
53479,JAMALPUR JN.,KIUL JN.,45.0,11,1.33
53480,KIUL JN.,JAMALPUR JN.,44.0,11,1.42
53481,TINPAHAR JN.,RAJMAHAL,11.0,0,0.42
53482,RAJMAHAL,TINPAHAR JN.,11.0,0,0.42
53483,TINPAHAR JN.,RAJMAHAL,11.0,0,0.42
53484,RAJMAHAL,TINPAHAR JN.,11.0,0,0.42
53485,TINPAHAR JN.,RAJMAHAL,11.0,0,0.47
53486,RAJMAHAL,TINPAHAR JN.,11.0,0,0.42
53487,TINPAHAR JN.,RAJMAHAL,11.0,0,0.47
53488,RAJMAHAL,TINPAHAR JN.,11.0,0,0.42
53489,TINPAHAR JN.,RAJMAHAL,11.0,0,0.42
53490,RAJMAHAL,TINPAHAR JN.,11.0,0,0.42
53491,TINPAHAR JN.,RAJMAHAL,11.0,0,0.42
53492,RAJMAHAL,TINPAHAR JN.,11.0,0,0.47
53493,TINPAHAR JN.,RAJMAHAL,11.0,0,0.42
53494,RAJMAHAL,TINPAHAR JN.,11.0,0,0.42
53495,TINPAHAR JN.,RAJMAHAL,11.0,0,0.42
53496,RAJMAHAL,TINPAHAR JN.,11.0,0,0.42
53497,BHAGALPUR,JAMALPUR JN.,52.0,16,1.67
53498,JAMALPUR JN.,BHAGALPUR,52.0,16,2.12
53511,MADHUPUR JN.,GIRDIH,38.0,5,1.0
53512,GIRDIH,MADHUPUR JN.,37.0,5,0.92
53513,MADHUPUR JN.,GIRDIH,38.0,5,1.0
53514,GIRDIH,MADHUPUR JN.,37.0,5,1.0
53515,MADHUPUR JN.,GIRDIH,38.0,5,1.0
53516,GIRDIH,MADHUPUR JN.,37.0,5,1.0
53517,MADHUPUR JN.,GIRDIH,38.0,5,1.0
53518,GIRDIH,MADHUPUR JN.,37.0,5,0.92
53519,MADHUPUR JN.,GIRDIH,38.0,5,0.92
53520,GIRDIH,MADHUPUR JN.,37.0,5,0.92
53523,ASANSOL MAIN,BARKAKANA,188.0,33,6.25
53524,BARKAKANA,ASANSOL MAIN,188.0,33,6.83
53525,BARKAKANA,VARANASI JN.,453.0,61,13.67
53526,VARANASI JN.,BARKAKANA,453.0,60,13.5
53551,DUMKA,JASIDIH JN.,70.0,7,1.67
53552,JASIDIH JN.,DUMKA,70.0,7,1.67
53553,DUMKA,JASIDIH JN.,70.0,7,1.67
53554,JASIDIH JN.,DUMKA,70.0,7,1.67
53555,DUMKA,JASIDIH JN.,70.0,7,1.75
53556,JASIDIH JN.,DUMKA,70.0,7,1.75
53611,BARWADIH JN,DEHRI-ON-SON,159.0,22,4.58
53612,DEHRI-ON-SON,BARWADIH JN,159.0,22,4.75
53615,JAMALPUR JN.,GAYA JN.,174.0,17,6.08
53616,GAYA JN.,JAMALPUR JN.,174.0,17,5.33
53623,JHAJHA,GAYA JN.,183.0,18,6.42
53624,GAYA JN.,JHAJHA,183.0,19,7.92
53625,KIUL JN.,GAYA JN.,129.0,11,5.25
53626,GAYA JN.,KIUL JN.,129.0,11,4.83
53627,KIUL JN.,GAYA JN.,129.0,10,5.42
53628,GAYA JN.,KIUL JN.,129.0,10,5.75
53629,KIUL JN.,GAYA JN.,129.0,10,4.75
53630,GAYA JN.,KIUL JN.,129.0,11,4.75
53631,KIUL JN.,GAYA JN.,129.0,10,4.08
53632,GAYA JN.,KIUL JN.,129.0,10,4.58
53641,DILDARNAGAR,MUGHAL SARAI,53.0,7,2.42
53642,MUGHAL SARAI,DILDARNAGAR,53.0,7,1.5
53643,DILDARNAGAR,TARIGHAT,18.0,2,1.0
53644,TARIGHAT,DILDARNAGAR,18.0,2,1.0
53645,DILDARNAGAR,TARIGHAT,18.0,2,1.0
53646,TARIGHAT,DILDARNAGAR,18.0,2,1.0
53647,DILDARNAGAR,TARIGHAT,18.0,2,1.0
53648,TARIGHAT,DILDARNAGAR,18.0,2,1.0
54001,TILAK BRIDGE,ROHTAK JN.,73.0,18,2.67
54002,ROHTAK JN.,TILAK BRIDGE,73.0,18,2.47
54005,DELHI JN.,BHIWANI JN.,119.0,21,3.92
54006,JIND JN,ROHTAK JN.,141.0,23,4.58
54007,ROHTAK JN.,JIND JN,141.0,23,4.33
54008,JIND JN,ROHTAK JN.,141.0,23,4.17
54009,ROHTAK JN.,JIND JN,141.0,23,4.67
54010,NARWANA JN.,JIND JN,33.0,3,0.75
54011,TILAK BRIDGE,SADULPUR JN,227.0,37,6.67
54012,SADULPUR JN,TILAK BRIDGE,227.0,37,6.47
54013,ROHTAK JN.,BHIWANI JN.,49.0,5,1.08
54014,BHIWANI JN.,ROHTAK JN.,49.0,5,1.58
54015,ROHTAK JN.,BHIWANI JN.,49.0,5,1.58
54016,BHIWANI JN.,ROHTAK JN.,49.0,5,1.25
54018,BHIWANI JN.,ROHTAK JN.,49.0,5,1.42
54019,REWARI JN.,ROHTAK JN.,81.0,6,1.67
54023,ROHTAK JN.,JIND JN,57.0,7,1.33
54024,JIND JN,DELHI JN.,127.0,23,4.58
54025,ROHTAK JN.,PANIPAT JN.,60.0,4,2.75
54026,PANIPAT JN.,ROHTAK JN.,71.0,4,1.75
54031,DELHI JN.,JIND JN,127.0,23,3.58
54032,JIND JN,DELHI JN.,127.0,23,3.67
54033,DELHI JN.,NARWANA JN.,160.0,27,5.0
54034,JIND JN,DELHI JN.,127.0,23,3.92
54035,DELHI JN.,JAKHAL JN.,199.0,33,6.0
54036,JAKHAL JN.,DELHI JN.,199.0,33,5.58
54037,KURUKSHETRA,JIND JN,120.0,15,3.42
54038,JIND JN,KURUKSHETRA,119.0,15,3.0
54039,KURUKSHETRA,JIND JN,120.0,15,3.25
54040,JIND JN,KURUKSHETRA,119.0,15,3.08
54041,KURUKSHETRA,JIND JN,120.0,15,3.08
54042,JIND JN,KURUKSHETRA,119.0,15,3.17
54043,JIND JN,HISAR JN,327.0,38,8.0
54044,HISAR JN,JIND JN,327.0,38,9.83
54045,JIND JN,FIROZPUR CAN,257.0,32,9.17
54046,FIROZPUR CAN,JIND JN,257.0,34,7.33
54047,KURUKSHETRA,JIND JN,120.0,8,2.92
54048,JIND JN,KURUKSHETRA,119.0,15,3.33
54049,ROHTAK JN.,JIND JN,141.0,23,4.33
54050,JIND JN,ROHTAK JN.,141.0,23,4.25
54051,LUDHIANA JN.,FIROZPUR CAN,123.0,12,3.08
54052,FIROZPUR CAN,LUDHIANA JN.,123.0,12,2.83
54053,JAKHAL JN.,LUDHIANA JN.,128.0,17,3.25
54054,LUDHIANA JN.,JAKHAL JN.,128.0,17,3.58
54055,MORADABAD JN,DELHI JN.,160.0,24,5.92
54056,DELHI JN.,MORADABAD JN,160.0,24,5.58
54057,DELHI JN.,SHAMLI,93.0,22,3.67
54058,SHAMLI,DELHI JN.,93.0,22,3.67
54059,DELHI JN.,SHAMLI,90.0,14,2.5
54060,SHAMLI,DELHI JN.,93.0,22,3.67
54075,SITAPUR CITY,DELHI JN.,408.0,38,13.25
54076,DELHI JN.,SITAPUR CITY,408.0,42,13.75
54077,BAREILLY JN.,MORADABAD JN,110.0,16,4.42
54078,MORADABAD JN,BAREILLY JN.,110.0,17,4.83
54085,DELHI JN.,REWARI JN.,82.0,16,2.67
54086,REWARI JN.,DELHI JN.,82.0,16,3.17
54091,NAJIBABAD JN,KOTDWARA,24.0,1,0.83
54092,KOTDWARA,NAJIBABAD JN,24.0,1,0.83
54101,PRAYAG JN.,KANPUR CENTR,208.0,32,6.25
54102,KANPUR CENTR,PRAYAG JN.,208.0,32,6.08
54103,CHUNAR JN.,ALLAHABAD JN,120.0,14,3.08
54104,ALLAHABAD JN,CHUNAR JN.,120.0,14,3.17
54107,ALLAHABAD JN,JAUNPUR JN.,113.0,17,5.17
54108,JAUNPUR JN.,ALLAHABAD JN,113.0,17,4.58
54109,MUGHAL SARAI,FAIZABAD JN.,214.0,31,6.92
54110,FAIZABAD JN.,MUGHAL SARAI,214.0,31,7.08
54152,KANPUR CENTR,FATEHPUR,77.0,11,2.75
54153,RAE BARELI J,KANPUR CENTR,167.0,25,5.83
54154,KANPUR CENTR,RAE BARELI J,167.0,25,5.63
54155,KANPUR CENTR,FARRUKHABAD,138.0,25,4.42
54156,FARRUKHABAD,KANPUR CENTR,139.0,25,4.17
54158,FARRUKHABAD,KANPUR ANWAR,136.0,24,3.67
54159,JHANSI JN,ALLAHABAD JN,397.0,42,11.58
54161,KHAJAURAHO,KANPUR CENTR,261.0,25,6.58
54162,KANPUR CENTR,KHAJAURAHO,261.0,26,6.67
54201,LUCKNOW JN.,RAHIMABAD,37.0,5,1.08
54211,RAE BARELI J,KANPUR CENTR,128.0,21,4.33
54212,KANPUR CENTR,RAE BARELI J,128.0,21,4.67
54221,RAE BARELI J,RAGHURAJ SIN,57.0,8,1.83
54222,RAGHURAJ SIN,RAE BARELI J,57.0,8,2.25
54223,RAE BARELI J,RAGHURAJ SIN,57.0,8,2.42
54224,RAGHURAJ SIN,RAE BARELI J,57.0,8,2.0
54225,UNCHAHAR JN.,RAE BARELI J,37.0,3,0.83
54226,RAE BARELI J,UNCHAHAR JN.,37.0,3,0.83
54227,UNCHAHAR JN.,RAE BARELI J,37.0,3,1.25
54228,RAE BARELI J,UNCHAHAR JN.,37.0,3,0.83
54231,FAIZABAD JN.,LUCKNOW JN.,127.0,16,3.67
54232,LUCKNOW JN.,FAIZABAD JN.,127.0,16,4.25
54233,FAIZABAD JN.,LUCKNOW JN.,127.0,16,3.17
54234,LUCKNOW JN.,FAIZABAD JN.,127.0,16,4.33
54237,MANKAPUR JN.,FAIZABAD JN.,46.0,5,1.5
54238,FAIZABAD JN.,MANKAPUR JN.,45.0,5,1.5
54239,MANKAPUR JN.,AYODHYA,38.0,3,1.0
54240,AYODHYA,MANKAPUR JN.,38.0,3,0.92
54243,MANKAPUR JN.,AYODHYA,38.0,3,1.0
54244,AYODHYA,MANKAPUR JN.,38.0,3,1.08
54251,LUCKNOW JN.,SAHARANPUR J,508.0,72,22.83
54252,SAHARANPUR J,LUCKNOW JN.,518.0,73,19.83
54253,PRAYAG JN.,LUCKNOW JN.,225.0,30,9.17
54254,LUCKNOW JN.,PRAYAG JN.,225.0,30,7.33
54255,VARANASI JN.,LUCKNOW JN.,301.0,41,8.92
54256,LUCKNOW JN.,VARANASI JN.,301.0,40,10.17
54261,MUGHAL SARAI,JAUNPUR JN.,75.0,12,3.0
54262,JAUNPUR JN.,VARANASI JN.,57.0,9,2.0
54263,VARANASI JN.,SULTANPUR JN,143.0,19,3.5
54264,SULTANPUR JN,VARANASI JN.,143.0,19,3.67
54265,VARANASI JN.,SULTANPUR JN,143.0,19,3.92
54266,SULTANPUR JN,VARANASI JN.,143.0,19,4.25
54267,MUGHAL SARAI,VARANASI JN.,18.0,2,0.83
54268,VARANASI JN.,MUGHAL SARAI,18.0,2,0.83
54270,VARANASI JN.,MUGHAL SARAI,18.0,2,0.78
54271,ARA,MUGHAL SARAI,198.0,29,7.17
54272,MUGHAL SARAI,ARA,198.0,29,5.8
54273,ARA,SASARAM,97.0,15,3.42
54274,SASARAM,ARA,97.0,15,4.33
54281,SULTANPUR JN,LUCKNOW JN.,139.0,17,4.08
54282,LUCKNOW JN.,SULTANPUR JN,139.0,16,4.25
54283,SULTANPUR JN,LUCKNOW JN.,139.0,16,5.17
54284,LUCKNOW JN.,SULTANPUR JN,139.0,16,3.83
54291,VARANASI JN.,PARTAPGARH J,128.0,16,3.67
54292,PARTAPGARH J,VARANASI JN.,128.0,16,4.25
54293,PARTAPGARH J,LUCKNOW JN.,172.0,23,5.58
54294,LUCKNOW JN.,PARTAPGARH J,172.0,25,6.58
54303,DELHI JN.,KALKA,266.0,39,8.5
54304,KALKA,DELHI JN.,331.0,45,12.58
54307,MORADABAD JN,DELHI JN.,160.0,21,6.17
54308,DELHI JN.,MORADABAD JN,160.0,21,6.33
54309,DELHI JN.,REWARI JN.,82.0,16,2.83
54310,REWARI JN.,DELHI JN.,82.0,16,2.83
54311,BAREILLY JN.,MORADABAD JN,110.0,18,3.5
54312,MORADABAD JN,BAREILLY JN.,110.0,18,3.75
54313,CHANDAUSI JN,MORADABAD JN,43.0,7,1.92
54314,MORADABAD JN,CHANDAUSI JN,43.0,7,1.75
54321,BALAMAU JN.,SITAPUR CANT,64.0,11,4.88
54322,SITAPUR CANT,BALAMAU JN.,64.0,11,2.83
54323,BURHWAL JN.,SITAPUR CANT,98.0,9,2.42
54324,SITAPUR CANT,BURHWAL JN.,97.0,12,2.33
54325,SITAPUR CITY,KANPUR CENTR,176.0,28,9.08
54326,KANPUR CENTR,SITAPUR CITY,176.0,28,9.0
54327,SITAPUR CITY,SHAHJAHANPUR,86.0,9,2.83
54328,SHAHJAHANPUR,SITAPUR CITY,86.0,9,2.33
54329,BALAMAU JN.,SHAHJAHANPUR,95.0,14,3.42
54330,SHAHJAHANPUR,BALAMAU JN.,95.0,14,3.25
54331,LUCKNOW JN.,BALAMAU JN.,68.0,9,2.42
54332,BALAMAU JN.,LUCKNOW JN.,68.0,8,2.42
54333,VARANASI JN.,LUCKNOW JN.,323.0,44,12.5
54334,LUCKNOW JN.,VARANASI JN.,323.0,44,10.67
54335,BALAMAU JN.,KANPUR CENTR,117.0,18,3.83
54336,KANPUR CENTR,BALAMAU JN.,117.0,18,3.92
54341,SAHARANPUR J,DEHRA DUN,131.0,19,6.42
54342,DEHRA DUN,SAHARANPUR J,131.0,19,5.33
54351,ALIGARH JN.,BAREILLY JN.,164.0,25,6.17
54352,BAREILLY JN.,ALIGARH JN.,164.0,25,5.75
54353,ALIGARH JN.,BAREILLY JN.,164.0,20,5.83
54354,BAREILLY JN.,ALIGARH JN.,164.0,25,5.83
54355,ROZA JN,BAREILLY JN.,78.0,11,2.25
54356,BAREILLY JN.,ROZA JN,78.0,11,3.17
54371,PRAYAG JN.,FAIZABAD JN.,150.0,19,6.75
54372,FAIZABAD JN.,PRAYAG JN.,150.0,19,5.17
54373,PRAYAG JN.,FAIZABAD JN.,150.0,19,4.92
54374,FAIZABAD JN.,PRAYAG JN.,150.0,19,5.5
54375,PRAYAG JN.,JAUNPUR JN.,107.0,16,4.08
54376,JAUNPUR JN.,PRAYAG JN.,107.0,16,3.92
54377,PRAYAG JN.,BAREILLY JN.,429.0,60,14.5
54378,BAREILLY JN.,PRAYAG JN.,429.0,60,15.5
54381,GAJRAULA JN.,NAJIBABAD JN,106.0,15,3.75
54382,NAJIBABAD JN,GAJRAULA JN.,106.0,16,4.58
54383,GAJRAULA JN.,NAJIBABAD JN,106.0,16,4.0
54384,NAJIBABAD JN,GAJRAULA JN.,106.0,15,3.83
54385,NAJIBABAD JN,KOTDWARA,24.0,1,0.83
54386,KOTDWARA,NAJIBABAD JN,24.0,1,0.83
54387,NAJIBABAD JN,KOTDWARA,24.0,1,0.83
54388,KOTDWARA,NAJIBABAD JN,24.0,1,0.83
54389,NAJIBABAD JN,KOTDWARA,24.0,1,0.83
54390,KOTDWARA,NAJIBABAD JN,24.0,1,0.83
54391,ALIGARH JN.,MORADABAD JN,142.0,22,4.58
54392,MORADABAD JN,ALIGARH JN.,142.0,22,4.75
54393,MORADABAD JN,GAJRAULA JN.,53.0,7,2.17
54394,GAJRAULA JN.,MORADABAD JN,53.0,7,2.33
54395,MORADABAD JN,NAJIBABAD JN,159.0,21,6.25
54396,NAJIBABAD JN,MORADABAD JN,159.0,21,5.5
54397,SAMBAHAL HAT,MORADABAD JN,47.0,7,2.67
54398,MORADABAD JN,SAMBAHAL HAT,47.0,7,2.33
54401,KHURJA JN,MEERUT CITY,92.0,12,3.58
54402,MEERUT CITY,KHURJA JN,92.0,12,4.33
54403,KHURJA JN,MEERUT CITY,92.0,12,3.17
54404,MEERUT CITY,KHURJA JN,92.0,12,2.92
54405,KHURJA JN,MEERUT CITY,92.0,12,3.5
54406,MEERUT CITY,KHURJA JN,92.0,11,2.92
54411,REWARI JN.,MEERUT CANT,160.0,35,5.75
54412,MEERUT CANT,REWARI JN.,160.0,35,5.42
54413,DELHI JN.,REWARI JN.,82.0,16,2.5
54414,REWARI JN.,DELHI JN.,82.0,16,2.58
54416,REWARI JN.,DELHI JN.,82.0,16,2.5
54417,DELHI JN.,REWARI JN.,82.0,16,2.58
54420,REWARI JN.,DELHI JN.,82.0,16,2.92
54421,DELHI JN.,REWARI JN.,82.0,16,3.17
54423,DELHI JN.,BHIWANI JN.,119.0,21,3.58
54424,BHIWANI JN.,DELHI JN.,119.0,21,3.67
54461,BANDIKUI JN.,BAREILLY JN.,415.0,53,15.67
54462,BAREILLY JN.,BANDIKUI JN.,416.0,54,14.75
54463,CHANDAUSI JN,RISHIKESH,233.0,36,9.67
54464,RISHIKESH,CHANDAUSI JN,233.0,34,11.17
54465,FARRUKHABAD,TUNDLA JN,142.0,19,4.17
54466,TUNDLA JN,FARRUKHABAD,142.0,19,4.58
54467,TUNDLA JN,ETAH,73.0,8,2.33
54468,ETAH,TUNDLA JN,73.0,8,1.67
54469,TUNDLA JN,ETAH,73.0,8,1.83
54470,ETAH,TUNDLA JN,73.0,8,1.83
54471,DELHI JN.,RISHIKESH,283.0,43,11.08
54472,RISHIKESH,DELHI JN.,283.0,44,11.92
54473,DELHI JN.,SAHARANPUR J,189.0,31,5.92
54474,SAHARANPUR J,DELHI JN.,189.0,26,5.08
54475,DELHI JN.,HARIDWAR JN,243.0,48,12.0
54476,HARIDWAR JN,DELHI JN.,243.0,48,11.83
54481,HARIDWAR JN,RISHIKESH,22.0,3,1.08
54482,RISHIKESH,HARIDWAR JN,22.0,3,1.0
54483,HARIDWAR JN,RISHIKESH,22.0,3,1.0
54484,RISHIKESH,HARIDWAR JN,22.0,3,1.17
54485,HARIDWAR JN,RISHIKESH,22.0,3,1.17
54486,RISHIKESH,HARIDWAR JN,22.0,3,0.92
54531,AMBALA CANTT,KALKA,69.0,6,1.83
54532,KALKA,AMBALA CANTT,69.0,6,1.67
54539,HAZRAT NIZAM,AMBALA CANTT,272.0,40,11.25
54540,AMBALA CANTT,HAZRAT NIZAM,272.0,38,10.42
54541,MEERUT CITY,AMBALA CANTT,194.0,26,5.92
54542,AMBALA CANTT,MEERUT CITY,194.0,26,7.08
54551,AMBALA CANTT,BATHINDA JN,201.0,24,5.08
54552,BATHINDA JN,AMBALA CANTT,201.0,24,5.25
54553,AMBALA CANTT,DHURI JN.,106.0,12,2.5
54555,DHURI JN.,BATHINDA JN,95.0,11,2.33
54556,BATHINDA JN,AMBALA CANTT,201.0,22,5.33
54557,AMBALA CANTT,PATIALA,53.0,5,1.33
54558,PATIALA,AMBALA CANTT,53.0,5,1.33
54559,BATHINDA JN,FAZILKA JN.,116.0,10,3.0
54560,FAZILKA JN.,BATHINDA JN,116.0,10,3.08
54561,BATHINDA JN,FIROZPUR CAN,87.0,11,2.08
54562,FIROZPUR CAN,BATHINDA JN,87.0,11,2.42
54563,BATHINDA JN,FIROZPUR CAN,87.0,11,2.17
54564,FIROZPUR CAN,BATHINDA JN,87.0,11,2.33
54571,LUDHIANA JN.,FIROZPUR CAN,123.0,18,3.42
54572,FIROZPUR CAN,LUDHIANA JN.,123.0,18,3.83
54575,LUDHIANA JN.,LOHIAN KHAS,77.0,13,2.42
54576,LOHIAN KHAS,LUDHIANA JN.,77.0,13,2.5
54581,NANGAL DAM,AMB  ANDAURA,43.0,5,1.17
54582,AMB  ANDAURA,NANGAL DAM,43.0,5,1.25
54601,HISAR JN,AMRITSAR JN.,345.0,36,9.33
54602,AMRITSAR JN.,SADULPUR JN,415.0,37,12.5
54603,HISAR JN,LUDHIANA JN.,209.0,27,5.75
54604,LUDHIANA JN.,HISAR JN,209.0,27,5.58
54605,SADULPUR JN,LUDHIANA JN.,279.0,33,7.75
54606,LUDHIANA JN.,HISAR JN,209.0,27,5.75
54611,AMRITSAR JN.,PATHANKOT JN,106.0,14,2.92
54612,PATHANKOT JN,AMRITSAR JN.,106.0,15,2.92
54613,AMRITSAR JN.,PATHANKOT JN,106.0,15,3.0
54614,PATHANKOT JN,AMRITSAR JN.,106.0,15,3.0
54615,AMRITSAR JN.,PATHANKOT JN,106.0,15,3.33
54616,PATHANKOT JN,AMRITSAR JN.,106.0,15,3.08
54621,JALANDHAR CI,PATHANKOT JN,115.0,16,3.0
54622,PATHANKOT JN,JALANDHAR CI,115.0,16,3.33
54625,JAIJON DOABA,JALANDHAR CI,87.0,15,3.25
54626,JALANDHAR CI,JAIJON DOABA,87.0,15,3.33
54631,BHIWANI JN.,DHURI JN.,207.0,22,5.5
54632,DHURI JN.,SIRSA,229.0,25,6.25
54633,SIRSA,LUDHIANA JN.,291.0,34,7.08
54634,LUDHIANA JN.,BHIWANI JN.,269.0,32,8.25
54635,HISAR JN,LUDHIANA JN.,209.0,26,6.08
54636,LUDHIANA JN.,HISAR JN,209.0,27,5.58
54637,HOSHIARPUR,JALANDHAR CI,42.0,5,1.5
54638,JALANDHAR CI,HOSHIARPUR,42.0,5,1.17
54641,DELHI JN.,FIROZPUR CAN,384.0,58,12.42
54642,FIROZPUR CAN,DELHI JN.,384.0,57,11.33
54643,JALANDHAR CI,FIROZPUR CAN,117.0,16,3.5
54644,FIROZPUR CAN,JALANDHAR CI,117.0,16,3.42
54645,LUDHIANA JN.,FIROZPUR CAN,123.0,12,2.83
54646,FIROZPUR CAN,LUDHIANA JN.,123.0,18,3.42
54651,JAMMU TAWI,UDHAMPUR,53.0,4,1.33
54654,UDHAMPUR,JAMMU TAWI,53.0,4,1.5
54701,BATHINDA JN,LALGARH JN.,319.0,29,7.5
54702,LALGARH JN.,ABOHAR,394.0,37,10.17
54703,ABOHAR,JODHPUR JN.,661.0,58,18.33
54704,JODHPUR JN.,BATHINDA JN,601.0,54,14.83
54751,REWARI JN.,SHRI GANGANA,413.0,46,11.58
54752,SHRI GANGANA,REWARI JN.,412.0,46,10.75
54753,BATHINDA JN,SHRI GANGANA,126.0,16,3.17
54754,SHRI GANGANA,BATHINDA JN,126.0,16,3.08
54755,BATHINDA JN,SHRI GANGANA,126.0,16,3.08
54756,SHRI GANGANA,BATHINDA JN,126.0,16,3.17
54757,AMBALA CANTT,SHRI GANGANA,327.0,41,9.5
54758,SHRI GANGANA,AMBALA CANTT,327.0,41,8.67
54759,SHRI GANGANA,SURATGARH JN,137.0,15,3.0
54760,SURATGARH JN,SHRI GANGANA,125.0,14,2.92
54761,SHRI GANGANA,SURATGARH JN,125.0,14,3.0
54762,SURATGARH JN,SHRI GANGANA,125.0,14,3.0
54763,SADULPUR JN,SHRI GANGANA,190.0,29,6.17
54764,SHRI GANGANA,SADULPUR JN,190.0,24,5.75
54765,DHURI JN.,BATHINDA JN,95.0,9,2.25
54766,BATHINDA JN,DHURI JN.,95.0,9,2.67
54781,BATHINDA JN,REWARI JN.,300.0,36,8.33
54782,REWARI JN.,BATHINDA JN,300.0,40,7.67
54783,FAZILKA JN.,REWARI JN.,422.0,58,12.25
54784,REWARI JN.,FAZILKA JN.,423.0,58,11.42
54785,FIROZPUR CAN,FAZILKA JN.,88.0,12,2.58
54786,FAZILKA JN.,FIROZPUR CAN,88.0,12,2.42
54787,BHIWANI JN.,REWARI JN.,82.0,11,2.0
54788,REWARI JN.,BHIWANI JN.,82.0,8,1.83
54789,REWARI JN.,BIKANER JN.,384.0,43,8.67
54790,BIKANER JN.,REWARI JN.,384.0,43,8.75
54791,MATHURA JN.,BHIWANI JN.,279.0,30,7.5
54792,BHIWANI JN.,MATHURA JN.,279.0,32,8.08
54793,SAWAI MADHOP,MATHURA JN.,212.0,20,6.08
54794,MATHURA JN.,SAWAI MADHOP,212.0,21,5.75
54803,JODHPUR JN.,AHMEDABAD,457.0,56,12.83
54804,AHMEDABAD,JODHPUR JN.,455.0,56,14.17
54805,AHMEDABAD,JAIPUR JN.,618.0,84,23.33
54806,JAIPUR JN.,AHMEDABAD,621.0,79,22.17
54809,REWARI JN.,JODHPUR JN.,542.0,62,12.92
54810,JODHPUR JN.,REWARI JN.,543.0,62,13.58
54813,JODHPUR JN.,BARMER,208.0,22,4.83
54819,JAISALMER,JODHPUR JN.,300.0,20,7.0
54820,JODHPUR JN.,JAISALMER,300.0,20,7.5
54822,MAKRANA JN.,PARVATSAR CI,21.0,0,1.0
54825,JODHPUR JN.,BILARA,88.0,10,3.25
