Train_No,Origin_Station,Destination_Station,Total_Distance,Number_of_Stops,Journey_Duration_Hours
16335,GANDHIDHAM J,NAGERCOIL JN,2348.0,54,44.92
16336,NAGERCOIL JN,GANDHIDHAM J,2352.0,54,46.25
16337,OKHA,ERNAKULAM. J,2253.0,48,42.25
16338,ERNAKULAM. J,OKHA,2258.0,49,44.67
16339,CST-MUMBAI,NAGERCOIL JN,1874.0,38,39.17
16340,NAGERCOIL JN,CST-MUMBAI,1875.0,37,38.33
16341,GURUVAYUR,TRIVANDRUM C,302.0,21,6.5
16342,TRIVANDRUM C,GURUVAYUR,302.0,20,6.83
16343,TRIVANDRUM C,MADURAI JN,609.0,20,14.67
16344,MADURAI JN,TRIVANDRUM C,610.0,20,14.67
16345,LOKMANYA TIL,TRIVANDRUM C,1510.0,44,30.25
16346,TRIVANDRUM C,LOKMANYA TIL,1514.0,44,30.92
16347,TRIVANDRUM C,MANGALORE CE,630.0,48,14.42
16348,MANGALORE CE,TRIVANDRUM C,632.0,47,14.42
16349,SHORANUR JN.,NILAMBUR ROA,67.0,7,1.25
16350,NILAMBUR ROA,SHORANUR JN.,66.0,7,1.33
16351,CST-MUMBAI,NAGERCOIL JN,1942.0,45,40.08
16352,NAGERCOIL JN,CST-MUMBAI,1945.0,44,39.83
16353,KACHEGUDA,NAGERCOIL JN,1490.0,29,29.0
16354,NAGERCOIL JN,KACHEGUDA,1492.0,29,29.83
16359,ERNAKULAM. J,PATNA JN.,2987.0,42,58.33
16360,PATNA JN.,ERNAKULAM. J,2980.0,42,54.75
16381,CST-MUMBAI,KANNIYAKUMAR,2130.0,61,44.83
16382,KANNIYAKUMAR,CST-MUMBAI,2132.0,60,46.0
16501,AHMEDABAD,YESVANTPUR J,1797.0,23,33.67
16502,YESVANTPUR J,AHMEDABAD,1785.0,25,36.83
16505,GANDHIDHAM J,KRANTIVIRA S,1949.0,32,42.25
16506,KRANTIVIRA S,GANDHIDHAM J,1952.0,31,38.67
16507,JODHPUR JN.,KRANTIVIRA S,2103.0,44,45.92
16508,KRANTIVIRA S,JODHPUR JN.,2104.0,43,43.0
16515,YESVANTPUR J,KAWR,667.0,20,15.83
16516,KAWR,YESVANTPUR J,649.0,20,15.0
16517,KRANTIVIRA S,KANNUR,579.0,18,14.67
