,count,mean,min,max
,Number_of_Stops,Number_of_Stops,Number_of_Stops,Number_of_Stops
Train_No,,,,
107,1,2.0,2,2
108,1,2.0,2,2
128,1,20.0,20,20
290,1,12.0,12,12
401,1,10.0,10,10
421,1,3.0,3,3
422,1,3.0,3,3
477,1,12.0,12,12
502,1,7.0,7,7
504,1,1.0,1,1
506,1,1.0,1,1
557,1,0.0,0,0
604,1,1.0,1,1
1011,1,16.0,16,16
1037,1,8.0,8,8
1038,1,8.0,8,8
1045,1,9.0,9,9
1119,1,22.0,22,22
1120,1,22.0,22,22
1122,1,12.0,12,12
1196,1,24.0,24,24
1301,1,15.0,15,15
1302,1,15.0,15,15
1442,1,11.0,11,11
1655,1,11.0,11,11
1656,1,11.0,11,11
1705,1,12.0,12,12
1706,1,12.0,12,12
1707,1,15.0,15,15
1708,1,15.0,15,15
2025,1,5.0,5,5
2026,1,5.0,5,5
2191,1,14.0,14,14
2192,1,14.0,14,14
2195,1,8.0,8,8
2196,1,8.0,8,8
2515,1,56.0,56,56
2651,1,1.0,1,1
2652,1,1.0,1,1
2731,1,27.0,27,27
2732,1,27.0,27,27
2821,1,12.0,12,12
2822,1,12.0,12,12
2833,1,27.0,27,27
2834,1,27.0,27,27
2841,1,10.0,10,10
2842,1,10.0,10,10
2845,1,15.0,15,15
2846,1,15.0,15,15
3101,1,7.0,7,7
3102,1,7.0,7,7
3301,1,11.0,11,11
3302,1,11.0,11,11
3305,1,0.0,0,0
3306,1,0.0,0,0
3307,1,2.0,2,2
3308,1,2.0,2,2
3501,1,3.0,3,3
3502,1,3.0,3,3
4401,1,11.0,11,11
4402,1,11.0,11,11
4409,1,5.0,5,5
4410,1,5.0,5,5
4419,1,11.0,11,11
4420,1,11.0,11,11
4735,1,15.0,15,15
4736,1,15.0,15,15
4767,1,8.0,8,8
4768,1,8.0,8,8
4769,1,8.0,8,8
4770,1,8.0,8,8
4771,1,22.0,22,22
4772,1,22.0,22,22
4773,1,14.0,14,14
4774,1,8.0,8,8
4801,1,1.0,1,1
4802,1,1.0,1,1
4831,1,20.0,20,20
4832,1,20.0,20,20
4851,1,19.0,19,19
4852,1,19.0,19,19
4853,1,4.0,4,4
4854,1,4.0,4,4
4921,1,11.0,11,11
4922,1,11.0,11,11
4991,1,12.0,12,12
4992,1,12.0,12,12
5061,1,3.0,3,3
5062,1,3.0,3,3
5065,1,13.0,13,13
5066,1,13.0,13,13
5105,1,2.0,2,2
5106,1,2.0,2,2
5305,1,9.0,9,9
5306,1,9.0,9,9
5309,1,4.0,4,4
5310,1,4.0,4,4
5521,1,10.0,10,10
5522,1,10.0,10,10
5613,1,9.0,9,9
5614,1,7.0,7,7
5619,1,18.0,18,18
5620,1,18.0,18,18
5631,1,8.0,8,8
5632,1,8.0,8,8
5715,1,0.0,0,0
5716,1,0.0,0,0
5719,1,9.0,9,9
5720,1,9.0,9,9
5863,1,13.0,13,13
5864,1,13.0,13,13
5865,1,51.0,51,51
5866,1,51.0,51,51
6001,1,12.0,12,12
6002,1,13.0,13,13
6006,1,12.0,12,12
6009,1,25.0,25,25
6010,1,25.0,25,25
6041,1,17.0,17,17
6042,1,18.0,18,18
6043,1,16.0,16,16
6044,1,17.0,17,17
6046,1,17.0,17,17
6047,1,17.0,17,17
6048,1,18.0,18,18
6049,1,17.0,17,17
6050,1,18.0,18,18
6053,1,12.0,12,12
6054,1,12.0,12,12
6057,1,17.0,17,17
6058,1,17.0,17,17
6065,1,11.0,11,11
6066,1,11.0,11,11
6067,1,7.0,7,7
6068,1,7.0,7,7
6081,1,2.0,2,2
6082,1,2.0,2,2
6412,1,19.0,19,19
6512,1,12.0,12,12
6513,1,4.0,4,4
6541,1,12.0,12,12
6542,1,12.0,12,12
6547,1,12.0,12,12
6548,1,11.0,11,11
6579,1,19.0,19,19
6580,1,19.0,19,19
6581,1,83.0,83,83
6582,1,83.0,83,83
6591,1,7.0,7,7
6592,1,7.0,7,7
6593,1,2.0,2,2
6594,1,2.0,2,2
6595,1,5.0,5,5
6596,1,5.0,5,5
6647,1,6.0,6,6
6648,1,6.0,6,6
6769,1,9.0,9,9
6770,1,9.0,9,9
6851,1,1.0,1,1
6852,1,1.0,1,1
6853,1,1.0,1,1
6854,1,1.0,1,1
6919,1,34.0,34,34
6920,1,34.0,34,34
7005,1,32.0,32,32
7006,1,32.0,32,32
7007,1,25.0,25,25
7008,1,26.0,26,26
7016,1,16.0,16,16
7044,1,9.0,9,9
7061,1,6.0,6,6
7062,1,12.0,12,12
7075,1,15.0,15,15
7076,1,15.0,15,15
7109,1,38.0,38,38
7110,1,38.0,38,38
7113,1,35.0,35,35
7133,1,37.0,37,37
7134,1,37.0,37,37
7141,1,37.0,37,37
7142,1,37.0,37,37
7146,1,14.0,14,14
7149,1,35.0,35,35
7211,1,34.0,34,34
7212,1,34.0,34,34
7213,1,27.0,27,27
7214,1,28.0,28,28
7217,1,35.0,35,35
7218,1,35.0,35,35
7410,1,27.0,27,27
7417,1,31.0,31,31
7418,1,31.0,31,31
7425,1,13.0,13,13
7426,1,13.0,13,13
7429,1,9.0,9,9
7430,1,9.0,9,9
7431,1,11.0,11,11
7432,1,12.0,12,12
7435,1,12.0,12,12
7436,1,13.0,13,13
7438,1,26.0,26,26
7439,1,26.0,26,26
7487,1,9.0,9,9
7505,1,47.0,47,47
7509,1,45.0,45,45
7517,1,7.0,7,7
7525,1,31.0,31,31
7526,1,31.0,31,31
7603,1,12.0,12,12
7604,1,12.0,12,12
7607,1,17.0,17,17
7608,1,17.0,17,17
7613,1,36.0,36,36
7614,1,37.0,37,37
7644,1,9.0,9,9
7645,1,8.0,8,8
7757,1,4.0,4,4
7758,1,4.0,4,4
7941,1,10.0,10,10
7942,1,11.0,11,11
8001,1,0.0,0,0
8002,1,0.0,0,0
8014,1,2.0,2,2
8017,1,4.0,4,4
8018,1,4.0,4,4
8035,1,17.0,17,17
8036,1,17.0,17,17
8051,1,1.0,1,1
8052,1,3.0,3,3
8061,1,22.0,22,22
8062,1,22.0,22,22
8063,1,15.0,15,15
8064,1,14.0,14,14
8065,1,15.0,15,15
8082,1,4.0,4,4
8087,1,4.0,4,4
8101,1,3.0,3,3
8102,1,3.0,3,3
8301,1,13.0,13,13
8302,1,13.0,13,13
8403,1,7.0,7,7
8404,1,7.0,7,7
8501,1,11.0,11,11
8502,1,11.0,11,11
8511,1,10.0,10,10
8512,1,10.0,10,10
8567,1,27.0,27,27
8568,1,27.0,27,27
8573,1,13.0,13,13
8574,1,13.0,13,13
8581,1,0.0,0,0
8582,1,0.0,0,0
8617,1,13.0,13,13
8618,1,13.0,13,13
8627,1,11.0,11,11
8628,1,12.0,12,12
8872,1,15.0,15,15
9003,1,3.0,3,3
9004,1,3.0,3,3
9005,1,2.0,2,2
9006,1,2.0,2,2
9011,1,18.0,18,18
9012,1,18.0,18,18
9433,1,12.0,12,12
9434,1,12.0,12,12
9621,1,10.0,10,10
9622,1,10.0,10,10
9721,1,10.0,10,10
9722,1,10.0,10,10
9761,1,11.0,11,11
9809,1,9.0,9,9
9810,1,9.0,9,9
10103,1,18.0,18,18
10104,1,18.0,18,18
10111,1,18.0,18,18
10112,1,18.0,18,18
10215,1,11.0,11,11
10216,1,11.0,11,11
11001,1,10.0,10,10
11002,1,10.0,10,10
11003,1,19.0,19,19
11004,1,19.0,19,19
11005,1,37.0,37,37
11006,1,36.0,36,36
11007,1,10.0,10,10
11008,1,9.0,9,9
11009,1,10.0,10,10
11010,1,9.0,9,9
11011,1,14.0,14,14
11012,1,14.0,14,14
11013,1,32.0,32,32
11014,1,32.0,32,32
11015,1,45.0,45,45
11016,1,44.0,44,44
11017,1,28.0,28,28
11018,1,28.0,28,28
11019,1,37.0,37,37
11020,1,38.0,38,38
11021,1,38.0,38,38
11022,1,37.0,37,37
11023,1,26.0,26,26
11024,1,29.0,29,29
11025,1,17.0,17,17
11026,1,17.0,17,17
11027,1,50.0,50,50
11028,1,50.0,50,50
11029,1,33.0,33,33
11030,1,32.0,32,32
11031,1,3.0,3,3
11032,1,3.0,3,3
11033,1,28.0,28,28
11034,1,28.0,28,28
11035,1,25.0,25,25
11036,1,24.0,24,24
11037,1,15.0,15,15
11038,1,15.0,15,15
11039,1,60.0,60,60
11040,1,58.0,58,58
11041,1,34.0,34,34
11042,1,32.0,32,32
11043,1,25.0,25,25
11044,1,24.0,24,24
11045,1,37.0,37,37
11046,1,37.0,37,37
11047,1,10.0,10,10
11048,1,10.0,10,10
11049,1,16.0,16,16
11050,1,16.0,16,16
11051,1,7.0,7,7
11052,1,7.0,7,7
11053,1,15.0,15,15
11054,1,15.0,15,15
11055,1,21.0,21,21
11056,1,21.0,21,21
11057,1,88.0,88,88
11058,1,89.0,89,89
11059,1,22.0,22,22
11060,1,22.0,22,22
11061,1,39.0,39,39
11062,1,37.0,37,37
11063,1,12.0,12,12
11064,1,12.0,12,12
11067,1,18.0,18,18
11068,1,18.0,18,18
11071,1,41.0,41,41
11072,1,39.0,39,39
11073,1,16.0,16,16
11074,1,15.0,15,15
11075,1,11.0,11,11
11076,1,11.0,11,11
11077,1,65.0,65,65
11078,1,63.0,63,63
11079,1,23.0,23,23
11080,1,22.0,22,22
11081,1,18.0,18,18
11082,1,17.0,17,17
11083,1,27.0,27,27
11084,1,26.0,26,26
11085,1,9.0,9,9
11086,1,9.0,9,9
11087,1,24.0,24,24
11088,1,23.0,23,23
11089,1,24.0,24,24
11090,1,24.0,24,24
11091,1,22.0,22,22
11092,1,22.0,22,22
11093,1,25.0,25,25
11094,1,24.0,24,24
11095,1,15.0,15,15
11096,1,14.0,14,14
11097,1,31.0,31,31
11098,1,30.0,30,30
11101,1,21.0,21,21
11102,1,21.0,21,21
11103,1,19.0,19,19
11104,1,19.0,19,19
11107,1,29.0,29,29
11108,1,35.0,35,35
11109,1,9.0,9,9
11110,1,9.0,9,9
11111,1,10.0,10,10
11112,1,10.0,10,10
11123,1,47.0,47,47
11124,1,47.0,47,47
11125,1,9.0,9,9
11126,1,9.0,9,9
11201,1,24.0,24,24
11202,1,24.0,24,24
11203,1,26.0,26,26
11204,1,26.0,26,26
11205,1,18.0,18,18
11206,1,18.0,18,18
11265,1,12.0,12,12
11266,1,12.0,12,12
11272,1,45.0,45,45
11301,1,33.0,33,33
11302,1,32.0,32,32
11303,1,36.0,36,36
11304,1,36.0,36,36
11307,1,5.0,5,5
11308,1,5.0,5,5
11309,1,12.0,12,12
11310,1,12.0,12,12
11401,1,32.0,32,32
11402,1,32.0,32,32
11403,1,20.0,20,20
11404,1,20.0,20,20
11405,1,16.0,16,16
11406,1,16.0,16,16
11407,1,15.0,15,15
11408,1,15.0,15,15
11423,1,12.0,12,12
11424,1,12.0,12,12
11447,1,43.0,43,43
11448,1,44.0,44,44
11449,1,32.0,32,32
11450,1,29.0,29,29
11463,1,48.0,48,48
11464,1,48.0,48,48
11465,1,47.0,47,47
11466,1,48.0,48,48
11651,1,12.0,12,12
11652,1,12.0,12,12
11701,1,14.0,14,14
11702,1,14.0,14,14
11703,1,18.0,18,18
11704,1,18.0,18,18
11801,1,4.0,4,4
11802,1,4.0,4,4
11901,1,11.0,11,11
11902,1,11.0,11,11
12001,1,8.0,8,8
12002,1,8.0,8,8
12003,1,5.0,5,5
12004,1,5.0,5,5
12005,1,3.0,3,3
12006,1,3.0,3,3
12007,1,2.0,2,2
12008,1,2.0,2,2
12009,1,7.0,7,7
12010,1,7.0,7,7
12011,1,4.0,4,4
12012,1,4.0,4,4
12013,1,6.0,6,6
12014,1,6.0,6,6
12015,1,8.0,8,8
12016,1,8.0,8,8
12017,1,6.0,6,6
12018,1,6.0,6,6
12019,1,8.0,8,8
12020,1,8.0,8,8
12021,1,8.0,8,8
12022,1,9.0,9,9
12023,1,12.0,12,12
12024,1,12.0,12,12
12025,1,6.0,6,6
12026,1,6.0,6,6
12027,1,2.0,2,2
12028,1,2.0,2,2
12029,1,6.0,6,6
12030,1,6.0,6,6
12031,1,6.0,6,6
12032,1,6.0,6,6
12033,1,3.0,3,3
12034,1,2.0,2,2
12035,1,2.0,2,2
12036,1,2.0,2,2
12037,1,5.0,5,5
12038,1,5.0,5,5
12039,1,6.0,6,6
12040,1,6.0,6,6
12041,1,5.0,5,5
12042,1,5.0,5,5
12043,1,6.0,6,6
12044,1,6.0,6,6
12045,1,2.0,2,2
12046,1,2.0,2,2
12047,1,8.0,8,8
12048,1,8.0,8,8
12049,1,0.0,0,0
12050,1,0.0,0,0
12051,1,7.0,7,7
12052,1,7.0,7,7
12053,1,9.0,9,9
12054,1,9.0,9,9
12055,1,7.0,7,7
12056,1,8.0,8,8
12057,1,12.0,12,12
12058,1,12.0,12,12
12059,1,8.0,8,8
12060,1,8.0,8,8
12061,1,8.0,8,8
12062,1,8.0,8,8
12065,1,8.0,8,8
12066,1,8.0,8,8
12067,1,9.0,9,9
12068,1,9.0,9,9
12069,1,13.0,13,13
12070,1,13.0,13,13
12071,1,5.0,5,5
12072,1,5.0,5,5
12073,1,7.0,7,7
12074,1,7.0,7,7
12075,1,10.0,10,10
12076,1,10.0,10,10
12077,1,8.0,8,8
12078,1,8.0,8,8
12079,1,9.0,9,9
12080,1,9.0,9,9
12081,1,13.0,13,13
12082,1,13.0,13,13
12083,1,8.0,8,8
12084,1,8.0,8,8
12085,1,8.0,8,8
12086,1,8.0,8,8
12087,1,6.0,6,6
12088,1,6.0,6,6
12101,1,14.0,14,14
12102,1,15.0,15,15
12103,1,11.0,11,11
12104,1,11.0,11,11
12105,1,24.0,24,24
12106,1,25.0,25,25
12107,1,9.0,9,9
12108,1,9.0,9,9
12109,1,8.0,8,8
12110,1,8.0,8,8
12111,1,12.0,12,12
12112,1,12.0,12,12
12113,1,7.0,7,7
12114,1,7.0,7,7
12115,1,12.0,12,12
12116,1,13.0,13,13
12117,1,8.0,8,8
12118,1,8.0,8,8
12119,1,3.0,3,3
12120,1,3.0,3,3
12121,1,5.0,5,5
12122,1,5.0,5,5
12123,1,3.0,3,3
12124,1,2.0,2,2
12125,1,6.0,6,6
12126,1,5.0,5,5
12127,1,4.0,4,4
12128,1,3.0,3,3
12129,1,28.0,28,28
12130,1,28.0,28,28
12131,1,6.0,6,6
12132,1,6.0,6,6
12133,1,12.0,12,12
12134,1,12.0,12,12
12135,1,16.0,16,16
12136,1,16.0,16,16
12137,1,54.0,54,54
12138,1,52.0,52,52
12139,1,31.0,31,31
12140,1,31.0,31,31
12141,1,12.0,12,12
12142,1,11.0,11,11
12143,1,12.0,12,12
12144,1,12.0,12,12
12145,1,25.0,25,25
12146,1,25.0,25,25
12147,1,20.0,20,20
12148,1,20.0,20,20
12149,1,17.0,17,17
12150,1,17.0,17,17
12151,1,22.0,22,22
12152,1,21.0,21,21
12153,1,8.0,8,8
12154,1,8.0,8,8
12155,1,8.0,8,8
12156,1,8.0,8,8
12157,1,2.0,2,2
12158,1,2.0,2,2
12159,1,18.0,18,18
12160,1,18.0,18,18
12161,1,19.0,19,19
12162,1,19.0,19,19
12163,1,22.0,22,22
12164,1,20.0,20,20
12165,1,14.0,14,14
12166,1,14.0,14,14
12167,1,11.0,11,11
12168,1,11.0,11,11
12169,1,3.0,3,3
12170,1,3.0,3,3
12171,1,10.0,10,10
12172,1,10.0,10,10
12173,1,11.0,11,11
12174,1,11.0,11,11
12175,1,29.0,29,29
12176,1,29.0,29,29
12177,1,32.0,32,32
12178,1,32.0,32,32
12179,1,12.0,12,12
12180,1,12.0,12,12
12181,1,20.0,20,20
12182,1,20.0,20,20
12183,1,9.0,9,9
12184,1,9.0,9,9
12185,1,13.0,13,13
12186,1,13.0,13,13
12187,1,13.0,13,13
12188,1,13.0,13,13
12189,1,27.0,27,27
12190,1,26.0,26,26
12191,1,22.0,22,22
12192,1,22.0,22,22
12193,1,18.0,18,18
12194,1,18.0,18,18
12195,1,12.0,12,12
12196,1,12.0,12,12
12197,1,9.0,9,9
12198,1,9.0,9,9
12201,1,23.0,23,23
12202,1,23.0,23,23
12203,1,21.0,21,21
12204,1,21.0,21,21
12205,1,5.0,5,5
12206,1,5.0,5,5
12207,1,14.0,14,14
12208,1,14.0,14,14
12209,1,10.0,10,10
12210,1,10.0,10,10
12211,1,12.0,12,12
12212,1,12.0,12,12
12213,1,5.0,5,5
12214,1,4.0,4,4
12215,1,16.0,16,16
12216,1,16.0,16,16
12217,1,20.0,20,20
12218,1,20.0,20,20
12219,1,2.0,2,2
12220,1,2.0,2,2
12221,1,6.0,6,6
12222,1,6.0,6,6
12223,1,4.0,4,4
12224,1,4.0,4,4
12225,1,13.0,13,13
12226,1,13.0,13,13
12227,1,3.0,3,3
12228,1,3.0,3,3
12229,1,7.0,7,7
12230,1,7.0,7,7
12231,1,14.0,14,14
12232,1,14.0,14,14
12235,1,24.0,24,24
12236,1,24.0,24,24
12237,1,11.0,11,11
12238,1,11.0,11,11
12239,1,3.0,3,3
12240,1,3.0,3,3
12241,1,4.0,4,4
12242,1,4.0,4,4
12243,1,4.0,4,4
12244,1,4.0,4,4
12245,1,4.0,4,4
12246,1,4.0,4,4
12247,1,5.0,5,5
12248,1,5.0,5,5
12249,1,5.0,5,5
12250,1,5.0,5,5
12251,1,23.0,23,23
12252,1,24.0,24,24
12253,1,27.0,27,27
12254,1,27.0,27,27
12257,1,17.0,17,17
12258,1,17.0,17,17
12259,1,3.0,3,3
12260,1,3.0,3,3
12261,1,5.0,5,5
12262,1,5.0,5,5
12263,1,5.0,5,5
12264,1,5.0,5,5
12265,1,1.0,1,1
12266,1,1.0,1,1
12267,1,0.0,0,0
12268,1,0.0,0,0
12269,1,5.0,5,5
12270,1,5.0,5,5
12273,1,4.0,4,4
12274,1,4.0,4,4
12275,1,0.0,0,0
12276,1,0.0,0,0
12277,1,6.0,6,6
12278,1,6.0,6,6
12279,1,9.0,9,9
12280,1,9.0,9,9
12281,1,4.0,4,4
12282,1,4.0,4,4
12283,1,9.0,9,9
12284,1,9.0,9,9
12285,1,4.0,4,4
12286,1,4.0,4,4
12289,1,2.0,2,2
12290,1,2.0,2,2
12291,1,5.0,5,5
12292,1,5.0,5,5
12293,1,3.0,3,3
12294,1,3.0,3,3
12295,1,34.0,34,34
12296,1,35.0,35,35
12297,1,2.0,2,2
12298,1,2.0,2,2
12301,1,6.0,6,6
12302,1,6.0,6,6
12303,1,23.0,23,23
12304,1,23.0,23,23
12305,1,7.0,7,7
12306,1,7.0,7,7
12307,1,26.0,26,26
12308,1,26.0,26,26
12309,1,4.0,4,4
12310,1,4.0,4,4
12311,1,37.0,37,37
12312,1,38.0,38,38
12313,1,6.0,6,6
12314,1,6.0,6,6
12315,1,21.0,21,21
12316,1,21.0,21,21
12317,1,21.0,21,21
12318,1,21.0,21,21
12319,1,10.0,10,10
12320,1,9.0,9,9
12321,1,46.0,46,46
12322,1,47.0,47,47
12323,1,7.0,7,7
12324,1,7.0,7,7
12325,1,16.0,16,16
12326,1,16.0,16,16
12327,1,18.0,18,18
12328,1,18.0,18,18
12329,1,6.0,6,6
12330,1,6.0,6,6
12331,1,30.0,30,30
12332,1,30.0,30,30
12333,1,29.0,29,29
12334,1,29.0,29,29
12335,1,37.0,37,37
12336,1,36.0,36,36
12337,1,2.0,2,2
12338,1,2.0,2,2
12339,1,11.0,11,11
12340,1,11.0,11,11
12341,1,5.0,5,5
12342,1,5.0,5,5
12343,1,4.0,4,4
12344,1,4.0,4,4
12345,1,11.0,11,11
12346,1,11.0,11,11
12347,1,7.0,7,7
12348,1,7.0,7,7
12349,1,11.0,11,11
12350,1,11.0,11,11
12351,1,21.0,21,21
12352,1,21.0,21,21
12353,1,16.0,16,16
12354,1,16.0,16,16
12355,1,17.0,17,17
12356,1,17.0,17,17
12357,1,13.0,13,13
12358,1,13.0,13,13
12359,1,11.0,11,11
12360,1,11.0,11,11
12361,1,19.0,19,19
12362,1,19.0,19,19
12363,1,9.0,9,9
12364,1,9.0,9,9
12365,1,10.0,10,10
12366,1,10.0,10,10
12367,1,19.0,19,19
12368,1,19.0,19,19
12369,1,18.0,18,18
12370,1,18.0,18,18
12371,1,27.0,27,27
12372,1,27.0,27,27
12373,1,5.0,5,5
12374,1,5.0,5,5
12375,1,25.0,25,25
12376,1,25.0,25,25
12377,1,8.0,8,8
12378,1,8.0,8,8
12379,1,13.0,13,13
12380,1,13.0,13,13
12381,1,20.0,20,20
12382,1,20.0,20,20
12383,1,7.0,7,7
12384,1,7.0,7,7
12389,1,15.0,15,15
12390,1,15.0,15,15
12391,1,31.0,31,31
12392,1,31.0,31,31
12393,1,3.0,3,3
12394,1,3.0,3,3
12395,1,13.0,13,13
12396,1,13.0,13,13
12397,1,13.0,13,13
12398,1,13.0,13,13
12401,1,26.0,26,26
12402,1,26.0,26,26
12405,1,27.0,27,27
12406,1,27.0,27,27
12407,1,17.0,17,17
12408,1,17.0,17,17
12409,1,33.0,33,33
12410,1,33.0,33,33
12411,1,7.0,7,7
12412,1,7.0,7,7
12413,1,19.0,19,19
12414,1,20.0,20,20
12415,1,21.0,21,21
12416,1,20.0,20,20
12417,1,4.0,4,4
12418,1,5.0,5,5
12419,1,14.0,14,14
12420,1,14.0,14,14
12421,1,21.0,21,21
12422,1,21.0,21,21
12423,1,20.0,20,20
12424,1,20.0,20,20
12425,1,3.0,3,3
12426,1,3.0,3,3
12427,1,10.0,10,10
12428,1,11.0,11,11
12431,1,17.0,17,17
12432,1,17.0,17,17
12433,1,8.0,8,8
12434,1,8.0,8,8
12435,1,24.0,24,24
12436,1,24.0,24,24
12437,1,5.0,5,5
12438,1,5.0,5,5
12439,1,6.0,6,6
12440,1,6.0,6,6
12441,1,8.0,8,8
12442,1,8.0,8,8
12443,1,12.0,12,12
12444,1,12.0,12,12
12445,1,9.0,9,9
12446,1,9.0,9,9
12447,1,10.0,10,10
12448,1,10.0,10,10
12449,1,12.0,12,12
12450,1,12.0,12,12
12451,1,1.0,1,1
12452,1,1.0,1,1
12453,1,5.0,5,5
12454,1,5.0,5,5
12455,1,19.0,19,19
12456,1,19.0,19,19
12457,1,12.0,12,12
12458,1,12.0,12,12
12459,1,13.0,13,13
12460,1,15.0,15,15
12461,1,16.0,16,16
12462,1,14.0,14,14
12463,1,6.0,6,6
12464,1,6.0,6,6
12465,1,27.0,27,27
12466,1,27.0,27,27
12467,1,20.0,20,20
12468,1,20.0,20,20
12469,1,12.0,12,12
12470,1,12.0,12,12
12471,1,24.0,24,24
12472,1,24.0,24,24
12473,1,22.0,22,22
12474,1,23.0,23,23
12475,1,29.0,29,29
12476,1,29.0,29,29
12477,1,29.0,29,29
12478,1,29.0,29,29
12479,1,15.0,15,15
12480,1,15.0,15,15
12481,1,13.0,13,13
12482,1,13.0,13,13
12483,1,25.0,25,25
12484,1,25.0,25,25
12485,1,25.0,25,25
12486,1,25.0,25,25
12487,1,17.0,17,17
12488,1,17.0,17,17
12489,1,20.0,20,20
12490,1,20.0,20,20
12491,1,20.0,20,20
12492,1,20.0,20,20
12493,1,8.0,8,8
12494,1,8.0,8,8
12495,1,18.0,18,18
12496,1,18.0,18,18
12497,1,12.0,12,12
12498,1,13.0,13,13
12501,1,8.0,8,8
12502,1,8.0,8,8
12503,1,21.0,21,21
12504,1,21.0,21,21
12505,1,28.0,28,28
12506,1,27.0,27,27
12507,1,56.0,56,56
12508,1,54.0,54,54
12509,1,40.0,40,40
12510,1,39.0,39,39
12511,1,59.0,59,59
12512,1,58.0,58,58
12513,1,29.0,29,29
12514,1,28.0,28,28
12515,1,55.0,55,55
12516,1,54.0,54,54
12517,1,12.0,12,12
12518,1,12.0,12,12
12519,1,26.0,26,26
12520,1,26.0,26,26
12521,1,61.0,61,61
12522,1,60.0,60,60
12523,1,16.0,16,16
12524,1,16.0,16,16
12525,1,21.0,21,21
12526,1,21.0,21,21
12527,1,9.0,9,9
12529,1,8.0,8,8
12530,1,8.0,8,8
12531,1,10.0,10,10
12532,1,10.0,10,10
12533,1,14.0,14,14
12534,1,13.0,13,13
12535,1,11.0,11,11
12536,1,10.0,10,10
12537,1,13.0,13,13
12538,1,13.0,13,13
12539,1,16.0,16,16
12540,1,16.0,16,16
12541,1,14.0,14,14
12542,1,14.0,14,14
12545,1,19.0,19,19
12546,1,19.0,19,19
12547,1,10.0,10,10
12548,1,10.0,10,10
12549,1,16.0,16,16
12550,1,16.0,16,16
12551,1,27.0,27,27
12552,1,27.0,27,27
12553,1,19.0,19,19
12554,1,19.0,19,19
12555,1,13.0,13,13
12556,1,13.0,13,13
12557,1,14.0,14,14
12558,1,14.0,14,14
12559,1,2.0,2,2
12560,1,2.0,2,2
12561,1,20.0,20,20
12562,1,19.0,19,19
12565,1,9.0,9,9
12566,1,9.0,9,9
12567,1,7.0,7,7
12568,1,7.0,7,7
12569,1,21.0,21,21
12570,1,21.0,21,21
12572,1,7.0,7,7
12577,1,39.0,39,39
12578,1,38.0,38,38
12581,1,4.0,4,4
12582,1,4.0,4,4
12587,1,16.0,16,16
12588,1,16.0,16,16
12589,1,29.0,29,29
12590,1,29.0,29,29
12591,1,38.0,38,38
12592,1,38.0,38,38
12593,1,4.0,4,4
12594,1,4.0,4,4
12595,1,4.0,4,4
12596,1,4.0,4,4
12597,1,11.0,11,11
12598,1,11.0,11,11
12601,1,29.0,29,29
12602,1,31.0,31,31
12603,1,20.0,20,20
12604,1,19.0,19,19
12605,1,11.0,11,11
12606,1,11.0,11,11
12607,1,10.0,10,10
12608,1,11.0,11,11
12609,1,17.0,17,17
12610,1,17.0,17,17
12611,1,9.0,9,9
12612,1,9.0,9,9
12613,1,2.0,2,2
12614,1,2.0,2,2
12615,1,39.0,39,39
12616,1,38.0,38,38
12617,1,46.0,46,46
12618,1,46.0,46,46
12619,1,22.0,22,22
12620,1,20.0,20,20
12621,1,10.0,10,10
12622,1,9.0,9,9
12623,1,19.0,19,19
12624,1,20.0,20,20
12625,1,41.0,41,41
12626,1,40.0,40,40
12627,1,34.0,34,34
12628,1,33.0,33,33
12629,1,12.0,12,12
12630,1,12.0,12,12
12631,1,13.0,13,13
12632,1,14.0,14,14
12633,1,15.0,15,15
12634,1,16.0,16,16
12635,1,8.0,8,8
12636,1,9.0,9,9
12637,1,9.0,9,9
12638,1,10.0,10,10
12639,1,10.0,10,10
12640,1,11.0,11,11
12641,1,23.0,23,23
12642,1,24.0,24,24
12643,1,30.0,30,30
12644,1,29.0,29,29
12645,1,27.0,27,27
12646,1,26.0,26,26
12647,1,26.0,26,26
12648,1,26.0,26,26
12649,1,7.0,7,7
12650,1,7.0,7,7
12651,1,13.0,13,13
12652,1,13.0,13,13
12653,1,12.0,12,12
12654,1,13.0,13,13
12655,1,39.0,39,39
12656,1,40.0,40,40
12657,1,6.0,6,6
12658,1,6.0,6,6
12659,1,42.0,42,42
12660,1,42.0,42,42
12661,1,16.0,16,16
12662,1,16.0,16,16
12663,1,22.0,22,22
12664,1,22.0,22,22
12665,1,30.0,30,30
12666,1,30.0,30,30
12667,1,9.0,9,9
12668,1,9.0,9,9
12669,1,23.0,23,23
12670,1,22.0,22,22
12671,1,7.0,7,7
12672,1,7.0,7,7
12673,1,6.0,6,6
12674,1,7.0,7,7
12675,1,9.0,9,9
12676,1,10.0,10,10
12677,1,12.0,12,12
12678,1,12.0,12,12
12679,1,10.0,10,10
12680,1,10.0,10,10
12681,1,5.0,5,5
12682,1,6.0,6,6
12683,1,12.0,12,12
12684,1,12.0,12,12
12685,1,16.0,16,16
12686,1,16.0,16,16
12687,1,28.0,28,28
12688,1,29.0,29,29
12689,1,17.0,17,17
12690,1,18.0,18,18
12691,1,9.0,9,9
12692,1,12.0,12,12
12693,1,20.0,20,20
12694,1,20.0,20,20
12695,1,19.0,19,19
12696,1,19.0,19,19
12697,1,12.0,12,12
12698,1,12.0,12,12
