,count,mean,min,max
,Number_of_Stops,Number_of_Stops,Number_of_Stops,Number_of_Stops
Train_No,,,,
63212,1,27.0,27,27
63213,1,9.0,9,9
63214,1,11.0,11,11
63217,1,16.0,16,16
63218,1,16.0,16,16
63219,1,12.0,12,12
63220,1,15.0,15,15
63221,1,5.0,5,5
63222,1,5.0,5,5
63223,1,8.0,8,8
63224,1,8.0,8,8
63225,1,32.0,32,32
63226,1,37.0,37,37
63227,1,35.0,35,35
63228,1,29.0,29,29
63231,1,31.0,31,31
63232,1,16.0,16,16
63233,1,33.0,33,33
63234,1,27.0,27,27
63235,1,9.0,9,9
63237,1,19.0,19,19
63238,1,18.0,18,18
63240,1,9.0,9,9
63241,1,24.0,24,24
63242,1,11.0,11,11
63243,1,24.0,24,24
63244,1,24.0,24,24
63245,1,15.0,15,15
63246,1,15.0,15,15
63247,1,11.0,11,11
63248,1,24.0,24,24
63249,1,14.0,14,14
63250,1,12.0,12,12
63251,1,16.0,16,16
63252,1,15.0,15,15
63253,1,13.0,13,13
63254,1,22.0,22,22
63255,1,11.0,11,11
63256,1,11.0,11,11
63257,1,24.0,24,24
63258,1,24.0,24,24
63259,1,16.0,16,16
63260,1,19.0,19,19
63261,1,25.0,25,25
63262,1,22.0,22,22
63263,1,18.0,18,18
63264,1,29.0,29,29
63271,1,13.0,13,13
63272,1,13.0,13,13
63273,1,4.0,4,4
63274,1,5.0,5,5
63275,1,4.0,4,4
63276,1,5.0,5,5
63279,1,18.0,18,18
63280,1,23.0,23,23
63283,1,23.0,23,23
63284,1,23.0,23,23
63285,1,22.0,22,22
63286,1,18.0,18,18
63289,1,12.0,12,12
63290,1,12.0,12,12
63291,1,12.0,12,12
63292,1,12.0,12,12
63293,1,16.0,16,16
63294,1,16.0,16,16
63295,1,26.0,26,26
63296,1,26.0,26,26
63501,1,1.0,1,1
63502,1,32.0,32,32
63505,1,12.0,12,12
63506,1,12.0,12,12
63507,1,12.0,12,12
63508,1,12.0,12,12
63509,1,12.0,12,12
63510,1,12.0,12,12
63511,1,12.0,12,12
63512,1,12.0,12,12
63513,1,12.0,12,12
63514,1,12.0,12,12
63515,1,12.0,12,12
63516,1,12.0,12,12
63517,1,12.0,12,12
63518,1,12.0,12,12
63519,1,12.0,12,12
63520,1,12.0,12,12
63521,1,12.0,12,12
63522,1,12.0,12,12
63523,1,12.0,12,12
63524,1,12.0,12,12
63525,1,12.0,12,12
63526,1,12.0,12,12
63527,1,4.0,4,4
63528,1,4.0,4,4
63529,1,16.0,16,16
63530,1,15.0,15,15
63531,1,12.0,12,12
63532,1,12.0,12,12
63533,1,12.0,12,12
63534,1,12.0,12,12
63535,1,11.0,11,11
63536,1,12.0,12,12
63537,1,12.0,12,12
63538,1,12.0,12,12
63541,1,16.0,16,16
63542,1,16.0,16,16
63543,1,16.0,16,16
63544,1,15.0,15,15
63545,1,11.0,11,11
63546,1,10.0,10,10
63547,1,13.0,13,13
63548,1,12.0,12,12
63549,1,20.0,20,20
63550,1,21.0,21,21
63551,1,11.0,11,11
63552,1,11.0,11,11
63553,1,81.0,81,81
63554,1,81.0,81,81
63561,1,14.0,14,14
63562,1,14.0,14,14
63563,1,14.0,14,14
63564,1,14.0,14,14
63565,1,3.0,3,3
63566,1,3.0,3,3
63567,1,18.0,18,18
63568,1,18.0,18,18
63569,1,12.0,12,12
63570,1,14.0,14,14
63571,1,18.0,18,18
63572,1,18.0,18,18
63573,1,11.0,11,11
63574,1,11.0,11,11
63581,1,17.0,17,17
63582,1,17.0,17,17
63583,1,17.0,17,17
63584,1,17.0,17,17
63591,1,19.0,19,19
63592,1,19.0,19,19
63593,1,13.0,13,13
63594,1,13.0,13,13
63595,1,24.0,24,24
63596,1,24.0,24,24
63597,1,27.0,27,27
63598,1,27.0,27,27
64001,1,16.0,16,16
64002,1,16.0,16,16
64003,1,8.0,8,8
64004,1,12.0,12,12
64011,1,14.0,14,14
64012,1,14.0,14,14
64013,1,14.0,14,14
64014,1,14.0,14,14
64015,1,14.0,14,14
64016,1,14.0,14,14
64017,1,14.0,14,14
64018,1,4.0,4,4
64019,1,13.0,13,13
64031,1,11.0,11,11
64032,1,10.0,10,10
64034,1,10.0,10,10
64036,1,8.0,8,8
64051,1,14.0,14,14
64052,1,15.0,15,15
64053,1,15.0,15,15
64055,1,16.0,16,16
64057,1,15.0,15,15
64061,1,11.0,11,11
64062,1,11.0,11,11
64064,1,11.0,11,11
64071,1,12.0,12,12
64073,1,14.0,14,14
64074,1,14.0,14,14
64075,1,9.0,9,9
64076,1,9.0,9,9
64077,1,9.0,9,9
64078,1,9.0,9,9
64080,1,9.0,9,9
64082,1,9.0,9,9
64084,1,9.0,9,9
64087,1,15.0,15,15
64088,1,2.0,2,2
64089,1,19.0,19,19
64090,1,19.0,19,19
64091,1,21.0,21,21
64092,1,19.0,19,19
64093,1,12.0,12,12
64094,1,12.0,12,12
64095,1,16.0,16,16
64096,1,12.0,12,12
64097,1,4.0,4,4
64098,1,12.0,12,12
64101,1,19.0,19,19
64102,1,19.0,19,19
64103,1,19.0,19,19
64104,1,8.0,8,8
64105,1,22.0,22,22
64106,1,13.0,13,13
64107,1,8.0,8,8
64108,1,13.0,13,13
64109,1,16.0,16,16
64110,1,22.0,22,22
64111,1,17.0,17,17
64112,1,12.0,12,12
64113,1,20.0,20,20
64114,1,22.0,22,22
64151,1,19.0,19,19
64152,1,19.0,19,19
64153,1,14.0,14,14
64154,1,9.0,9,9
64155,1,9.0,9,9
64156,1,14.0,14,14
64157,1,14.0,14,14
64158,1,9.0,9,9
64159,1,8.0,8,8
64160,1,16.0,16,16
64161,1,11.0,11,11
64162,1,10.0,10,10
64163,1,1.0,1,1
64164,1,11.0,11,11
64165,1,9.0,9,9
64167,1,30.0,30,30
64168,1,30.0,30,30
64201,1,11.0,11,11
64202,1,11.0,11,11
64203,1,11.0,11,11
64204,1,11.0,11,11
64205,1,11.0,11,11
64206,1,11.0,11,11
64207,1,11.0,11,11
64208,1,11.0,11,11
64209,1,12.0,12,12
